,Temp,MaxTemp,MinTemp,hPAAtSeaLevel,hPA,Humidity,Visibility,AverageWindSpeed,MaxSustainedWindSpeed,Fog,Percipitation
0,48.02,55.94,37.04,1021.0,1019.3,29,16.1,13.7,25.9,0,0
1,43.519999999999996,57.02,33.08,1023.9,1022.2,43,16.1,6.3,11.1,0,0
2,44.78,57.92,33.08,1023.7,1022,54,16.1,5.0,14.8,0,0
3,46.22,62.059999999999995,33.98,1017.6,1015.9,62,16.1,3.3,16.5,0,0
4,51.26,62.059999999999995,35.06,1008.9,1007.2,72,15.8,20.9,44.6,0,1
5,49.64,55.94,42.980000000000004,1012.4,1010.7,86,13.7,17.4,35.2,0,1
6,54.5,62.059999999999995,42.980000000000004,1016.7,1014.6,83,14.8,12.6,44.6,0,1
7,56.48,62.059999999999995,48.92,1017.9,1016.1,79,16.1,9.1,25.9,0,0
8,57.92,60.980000000000004,51.08,1015.9,1014.1,80,15.3,16.9,33.5,0,1
9,52.52,62.059999999999995,42.980000000000004,1020.7,1019.2,87,13.4,5.4,16.5,1,0
10,53.24,64.04,42.980000000000004,1015.1,1013.4,75,16.1,11.5,29.4,0,1
11,55.76,64.04,44.96,1013.1,1011.4,77,16.1,12.4,22.2,0,1
12,53.24,64.04,42.980000000000004,1016.0,1014.3,74,16.1,10.9,24.1,0,0
13,52.879999999999995,62.059999999999995,42.980000000000004,1012.5,1010.8,73,15.8,10.2,31.7,0,1
14,52.34,57.02,48.02,1009.5,1007.8,83,15.4,19.3,27.8,0,1
15,55.94,60.980000000000004,51.08,1011.6,1009.9,83,13.5,27.0,48.2,0,1
16,58.1,60.980000000000004,53.96,1013.7,1011.6,77,12.9,17.2,35.2,0,1
17,55.76,64.04,50.0,1024.7,1023,75,16.1,3.7,9.4,0,0
18,58.64,69.08,48.92,1027.2,1025.6,70,16.1,5.0,14.8,0,0
19,58.28,69.08,48.92,1020.5,1018.7,81,15.3,9.4,29.4,0,1
20,50.36,64.94,42.980000000000004,1020.4,1018.7,76,15.4,10.4,22.2,0,1
21,49.64,59.0,41.0,1027.5,1025.7,66,16.1,11.5,20.6,0,0
22,48.92,60.980000000000004,37.04,1029.6,1027.9,55,16.1,4.1,11.1,0,0
23,51.08,64.04,37.04,1024.8,1023.1,66,16.1,7.6,24.1,0,0
24,51.44,66.02,39.02,1023.3,1021.6,63,16.1,5.9,16.5,0,0
25,52.34,66.02,37.94,1024.3,1022.6,64,16.1,4.3,13.0,0,0
26,54.68,66.02,37.94,1023.3,1021.6,65,15.9,3.5,11.1,0,0
27,56.48,66.02,42.980000000000004,1017.8,1016.1,64,16.1,3.9,11.1,0,0
28,56.120000000000005,64.94,48.02,1015.7,1013.9,82,15.8,6.3,14.8,0,0
29,55.22,66.02,48.02,1013.9,1012.2,85,11.1,5.2,18.3,0,0
30,57.02,66.02,50.0,1011.5,1009.8,80,15.1,6.9,16.5,0,1
31,55.94,62.959999999999994,50.0,1011.6,1010,77,16.1,14.1,25.9,0,0
32,54.32,59.0,51.98,1000.3,998.8,81,13.8,29.1,48.2,0,1
33,53.24,59.0,50.0,1001.7,999.8,82,13.2,20.0,37.0,0,1
34,50.54,59.0,46.94,1004.2,1002.3,79,14.5,14.6,27.8,0,1
35,44.06,55.94,37.04,1009.1,1007.3,75,15.8,9.3,24.1,0,1
36,41.9,48.02,37.94,1016.8,1015.1,73,16.1,8.1,18.3,0,0
37,45.68,57.02,33.98,1024.5,1022.8,68,16.1,7.0,16.5,0,0
38,48.02,57.02,35.06,1020.0,1018.3,78,15.8,13.7,22.2,0,1
39,47.120000000000005,55.94,35.96,1013.9,1012.2,80,15.6,11.3,20.6,0,1
40,47.66,55.94,35.96,1014.3,1012.4,75,14.5,13.0,24.1,0,1
41,44.78,55.04,35.06,1022.5,1020.8,72,16.1,8.1,22.2,0,0
42,44.96,55.04,35.06,1018.8,1017.1,75,16.1,8.3,18.3,0,0
43,53.24,60.980000000000004,37.04,1005.2,1003.5,68,13.8,29.6,42.4,0,1
44,58.28,62.959999999999994,42.08,999.8,998,88,11.9,20.4,40.7,0,1
45,49.82,62.059999999999995,44.96,1013.1,1011.4,78,15.1,10.7,22.2,0,1
